Response No.,Tab No.,Survey Date,AC Name,Mandal Name,Village Name
3724,445,5/27/2015,Tiruvuru,Gampalagudem,CHINTALANARVA
3725,450,6/23/2015,Tiruvuru,Gampalagudem,DUNDIRLAPADU
3726,479,6/12/2015,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
3728,314,6/19/2015,Nandigama,Nandigama,Pallagiri
3732,469,6/27/2015,Tiruvuru,Gampalagudem,DUNDIRLAPADU
3734,483,6/3/2015,Jaggaiahpeta,Penuganchiprolu,venkatapuram
3735,222,7/9/2015,Nandigama,Kanchikacherla,Kanchikacherla
3739,119,6/14/2015,Jaggaiahpeta,Vatsavai,Pedamodugapalli
3740,280,6/15/2015,Mylavaram,Reddygudem,Reddygudem
3742,190,5/21/2015,Mylavaram,G. Konduru,Venkatapuram
3742,6,6/23/2015,Tiruvuru,Vissannapeta,Narasapuram
3743,233,6/7/2015,Jaggaiahpeta,Jaggaiahpeta,Balusupadu
3743,22,6/15/2015,Nandigama,Veerullapadu,Dachavaram
3745,246,5/30/2015,Jaggaiahpeta,Jaggaiahpeta,Takkellapadu
3745,437,6/13/2015,Tiruvuru,Vissannapeta,Intermediate
3748,130,5/23/2015,Jaggaiahpeta,Vatsavai,P.V.Guduam
3750,7,7/20/2015,Intermediate,Intermediate,Intermediate
3750,353,7/17/2015,Mylavaram,Ibrahimpatnam,Kondapalli
3751,371,6/11/2015,Mylavaram,Mylavaram,Intermediate
3751,433,6/24/2015,Intermediate,Intermediate,Intermediate
3753,134,6/27/2015,Jaggaiahpeta,Vatsavai,Dabbagupalli
3757,252,7/3/2015,Jaggaiahpeta,Vatsavai,Magollu
3757,378,7/15/2015,Intermediate,Intermediate,Intermediate
3758,159,6/14/2015,Nandigama,Veerullapadu,Vellanki
3758,357,6/24/2015,Mylavaram,Mylavaram,pullur
3758,458,7/3/2015,Intermediate,Intermediate,Intermediate
3760,309,6/17/2015,Jaggaiahpeta,Nadigama,Jonnalagadda
3761,475,6/24/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
3764,296,6/6/2015,Jaggaiahpeta,Nadigama,Ramireddy palli
3768,24,6/15/2015,Intermediate,Intermediate,Intermediate
3771,333,6/13/2015,Tiruvuru,Tiruvuru,Chinthalapadu
3772,89,7/16/2015,Jaggaiahpeta,Vatsavai,Makkapeta
3773,186,6/24/2015,Mylavaram,G. Konduru,Velaturu
3774,287,7/15/2015,Mylavaram,Ibrahimpatnam,Kondapalli
3775,138,6/24/2015,Nandigama,Chanderlapadu,Thota Ravula Padu
3779,290,6/12/2015,Mylavaram,Reddygudem,Intermediate
3779,422,7/3/2015,Tiruvuru,Vissannapeta,Vissannapeta
3779,456,7/5/2015,Tiruvuru,Gampalagudem,PENUGOLANU
3782,204,6/11/2015,Nandigama,Kanchikacherla,Pendyala
3782,156,6/15/2015,Jaggaiahpeta,Jaggaiahpeta,S M Peta
3783,483,7/5/2015,Jaggaiahpeta,Penuganchiprolu,Konakanchi
3784,218,6/12/2015,Nandigama,Kanchikacherla,Gandepalli
3788,290,7/4/2015,Intermediate,Intermediate,Intermediate
3788,184,6/29/2015,Mylavaram,G. Konduru,Velaturu
3789,333,6/1/2015,Tiruvuru,Tiruvuru,Erukopadu
3789,243,6/7/2015,Intermediate,Intermediate,Intermediate
3789,71,6/17/2015,Mylavaram,Ibrahimpatnam,GunTupalli
3791,123,6/2/2015,Nandigama,Veerullapadu,Chatnavaram
3791,458,6/6/2015,Tiruvuru,Gampalagudem,ARLAPADU
3792,15,6/15/2015,Intermediate,Intermediate,Intermediate
3795,285,7/2/2015,Tiruvuru,Vissannapeta,Vissannapeta
3797,498,6/11/2015,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
3799,414,6/24/2015,Tiruvuru,Tiruvuru,Vavilala
3803,254,5/30/2015,Nandigama,Chanderlapadu,Intermediate
3804,252,6/9/2015,Jaggaiahpeta,Jaggaiahpeta,Gandrai
3805,283,6/19/2015,Mylavaram,Reddygudem,Reddygudem
3806,10,7/11/2015,Nandigama,Kanchikacherla,Kanchikacherla
3807,382,6/25/2015,Tiruvuru,A.Konduru,Khampampadu
3809,457,6/26/2015,Tiruvuru,Gampalagudem,UMMADADEVARAPALLI
3810,94,6/10/2015,Mylavaram,Vijayawada (R),Kottur tadepalli
3811,185,5/23/2015,Mylavaram,G. Konduru,Kandulapadu
3811,226,7/8/2015,Nandigama,Kanchikacherla,Kanchikacherla
3812,282,6/13/2015,Mylavaram,Reddygudem,Intermediate
3812,352,6/18/2015,Mylavaram,Mylavaram,pullur
3812,352,6/24/2015,Mylavaram,Mylavaram,pullur
3812,140,7/15/2015,Jaggaiahpeta,Vatsavai,Vatsavai
3813,483,5/31/2015,Jaggaiahpeta,Penuganchiprolu,venkatapuram
3814,245,6/5/2015,Jaggaiahpeta,Jaggaiahpeta,Anumanchipalli
3814,41,6/29/2015,Nandigama,Veerullapadu,Intermediate
3819,239,5/26/2015,Jaggaiahpeta,Jaggaiahpeta,Annavaram
3821,241,6/21/2015,Jaggaiahpeta,Jaggaiahpeta,Gandrai
3821,92,6/25/2015,Intermediate,Intermediate,Intermediate
3821,186,7/8/2015,Mylavaram,G. Konduru,Velagaleru
3822,299,7/15/2015,Nandigama,Veerullapadu,Alluru
3822,194,7/18/2015,Mylavaram,Ibrahimpatnam,Kondapalli
3823,153,6/5/2015,Jaggaiahpeta,Jaggaiahpeta,D P Tanda
3823,265,6/17/2015,Mylavaram,Reddygudem,Intermediate
3826,309,6/26/2015,Jaggaiahpeta,Nadigama,Konduru
3830,1,6/24/2015,Nandigama,Chanderlapadu,Kodavatikallu
3832,361,5/21/2015,Mylavaram,Mylavaram,Tholukodu
3832,93,6/23/2015,Mylavaram,Vijayawada (R),Kottur tadepalli
3832,39,7/3/2015,Nandigama,Veerullapadu,Intermediate
3836,235,6/3/2015,Nandigama,Chanderlapadu,Gudimetla
3837,294,5/28/2015,Jaggaiahpeta,Nadigama,Domaluru
3838,440,5/25/2015,Nandigama,Veerullapadu,Goka Raju Palli
3838,76,5/31/2015,Mylavaram,Ibrahimpatnam,Damuluru
3839,30,5/26/2015,Tiruvuru,Vissannapeta,Maremanda
3839,375,6/10/2015,Mylavaram,Mylavaram,Chandragudem
3840,137,6/30/2015,Jaggaiahpeta,Vatsavai,Polampalli
3843,476,6/30/2015,Jaggaiahpeta,Penuganchiprolu,Nawabpeta
3844,82,5/26/2015,Mylavaram,Ibrahimpatnam,Kethanakonda
3844,360,7/4/2015,Mylavaram,Mylavaram,mylavaram
3845,17,6/23/2015,Tiruvuru,Vissannapeta,Tatakuntla
3847,47,6/17/2015,Nandigama,Veerullapadu,Intermediate
3848,189,6/17/2015,Mylavaram,G. Konduru,Chevuturu
3850,460,6/26/2015,Tiruvuru,Gampalagudem,GAMPALAGUDEM
3852,68,5/30/2015,Mylavaram,Ibrahimpatnam,Mulapadu
3852,355,6/27/2015,Mylavaram,Mylavaram,Intermediate
3852,262,7/7/2015,Intermediate,Intermediate,Intermediate
3854,256,5/24/2015,Jaggaiahpeta,Jaggaiahpeta,Intermediate
3854,72,6/1/2015,Mylavaram,Ibrahimpatnam,Elaprolu
3859,492,6/18/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
3859,257,6/29/2015,Jaggaiahpeta,Vatsavai,Magollu
3862,339,6/30/2015,Tiruvuru,Tiruvuru,G.Kothuru
3863,271,6/16/2015,Mylavaram,Reddygudem,Intermediate
3867,179,6/1/2015,Mylavaram,G. Konduru,Duggiralapadu
3869,244,5/28/2015,Jaggaiahpeta,Jaggaiahpeta,Jayanthipuram
3869,313,6/19/2015,Jaggaiahpeta,Nadigama,Jonnalagadda
3874,288,5/25/2015,Mylavaram,Reddygudem,Narukullapadu
3874,382,6/18/2015,Tiruvuru,A.Konduru,Khampampadu
3874,136,7/14/2015,Jaggaiahpeta,Vatsavai,Vatsavai
3876,345,5/25/2015,Intermediate,Intermediate,Intermediate
3876,77,5/29/2015,Mylavaram,Ibrahimpatnam,Damuluru
3878,230,7/13/2015,Nandigama,Kanchikacherla,Kanchikacherla
3879,441,6/8/2015,Tiruvuru,Gampalagudem,ARLAPADU
3884,56,5/29/2015,Tiruvuru,Gampalagudem,KANUMURU
3885,441,6/12/2015,Tiruvuru,Gampalagudem,GULLAPUDI
3887,447,6/17/2015,Tiruvuru,Gampalagudem,NEMALI
3894,262,7/1/2015,Intermediate,Intermediate,Intermediate
3900,462,6/16/2015,Tiruvuru,Gampalagudem,GULLAPUDI
3901,262,6/25/2015,Mylavaram,Reddygudem,Reddygudem
3901,122,7/9/2015,Jaggaiahpeta,Vatsavai,Makkapeta
3903,134,5/26/2015,Jaggaiahpeta,Vatsavai,Gangavelli
3904,291,5/27/2015,Nandigama,Nandigama,Chandapuram
3904,216,7/11/2015,Nandigama,Chanderlapadu,Muppalla
3906,162,6/15/2015,Nandigama,Chanderlapadu,Chinthalapadu
3907,379,6/6/2015,Mylavaram,Mylavaram,Chandrala
3908,493,6/10/2015,Jaggaiahpeta,Penuganchiprolu,Intermediate
3909,436,5/25/2015,Nandigama,Veerullapadu,Thati Gummi
3910,119,6/15/2015,Jaggaiahpeta,Vatsavai,Pedamodugapalli
3914,440,6/14/2015,Nandigama,Veerullapadu,Ponnavaram
3917,369,5/28/2015,Mylavaram,Reddygudem,Moddulaparva
3919,117,5/26/2015,Jaggaiahpeta,Vatsavai,Gangavelli
3920,247,6/23/2015,Jaggaiahpeta,Jaggaiahpeta,S M Peta
3920,271,7/9/2015,Intermediate,Intermediate,Intermediate
3921,422,5/30/2015,Tiruvuru,Vissannapeta,Kondaparava
3921,314,5/30/2015,Nandigama,Nandigama,Kammavaripalem
3921,476,6/11/2015,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
3921,7,6/8/2015,Tiruvuru,Vissannapeta,Intermediate
3922,386,6/24/2015,Tiruvuru,A.Konduru,Khampampadu
3922,388,6/29/2015,Tiruvuru,A.Konduru,Khampampadu
3923,138,6/23/2015,Nandigama,Chanderlapadu,Thota Ravula Padu
3925,201,7/19/2015,Nandigama,Kanchikacherla,Kanchikacherla
3926,153,6/3/2015,Jaggaiahpeta,Jaggaiahpeta,Jayanthipuram
3929,330,6/2/2015,Tiruvuru,Tiruvuru,Erukopadu
3929,104,6/8/2015,Mylavaram,Vijayawada (R),Kottur tadepalli
3933,492,6/23/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
3934,213,7/20/2015,Nandigama,Kanchikacherla,Kanchikacherla
3938,253,6/4/2015,Jaggaiahpeta,Jaggaiahpeta,Intermediate
3940,305,6/27/2015,Intermediate,Intermediate,Intermediate
3942,188,6/16/2015,Mylavaram,G. Konduru,Chevuturu
3945,394,6/25/2015,Tiruvuru,A.Konduru,Ramachandrapuram
3946,442,6/3/2015,Tiruvuru,Gampalagudem,MEDURU
3946,235,7/10/2015,Nandigama,Chanderlapadu,Muppalla
3949,135,6/9/2015,Jaggaiahpeta,Vatsavai,Gopinenipalem
3950,494,6/13/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
3951,373,5/31/2015,Mylavaram,Mylavaram,Chandrala
3952,497,6/2/2015,Jaggaiahpeta,Penuganchiprolu,venkatapuram
3954,310,7/15/2015,Intermediate,Intermediate,Intermediate
3955,233,5/31/2015,Jaggaiahpeta,Jaggaiahpeta,Intermediate
3955,291,6/19/2015,Nandigama,Nandigama,Ambarupeta
3957,499,6/21/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
3957,187,6/22/2015,Mylavaram,G. Konduru,Chevuturu
3958,373,6/3/2015,Mylavaram,Mylavaram,Chandrala
3958,267,7/4/2015,Intermediate,Intermediate,Intermediate
3959,378,5/27/2015,Mylavaram,Mylavaram,Pondugala
3959,252,5/29/2015,Jaggaiahpeta,Jaggaiahpeta,Malkapuram
3959,436,6/9/2015,Nandigama,Veerullapadu,Vellanki
3959,498,6/28/2015,Jaggaiahpeta,Penuganchiprolu,Nawabpeta
3961,114,6/14/2015,Jaggaiahpeta,Vatsavai,Kambhampadu
3961,229,7/19/2015,Nandigama,Chanderlapadu,Chanderlapadu
3962,493,6/14/2015,Jaggaiahpeta,Penuganchiprolu,Intermediate
3962,434,6/17/2015,Tiruvuru,Vissannapeta,Tatakuntla
3965,462,6/17/2015,Tiruvuru,Gampalagudem,GULLAPUDI
3965,286,6/30/2015,Intermediate,Intermediate,Intermediate
3965,7,6/12/2015,Tiruvuru,Vissannapeta,Intermediate
3966,21,6/25/2015,Nandigama,Veerullapadu,G.Madhavaram
3966,317,6/30/2015,Jaggaiahpeta,Nadigama,Gollamudi
3968,458,6/23/2015,Tiruvuru,Gampalagudem,SOBBALA
3970,139,6/29/2015,Jaggaiahpeta,Vatsavai,Polampalli
3971,89,7/17/2015,Jaggaiahpeta,Vatsavai,Makkapeta
3975,120,6/9/2015,Jaggaiahpeta,Vatsavai,Gopinenipalem
3976,449,6/10/2015,Tiruvuru,Gampalagudem,NEMALI
3979,272,6/15/2015,Mylavaram,Reddygudem,Reddygudem
3981,160,5/29/2015,Jaggaiahpeta,Jaggaiahpeta,Vedadri
3982,109,6/13/2015,Nandigama,Veerullapadu,Dachavaram
3982,200,6/15/2015,Intermediate,Intermediate,Intermediate
3982,299,6/16/2015,Jaggaiahpeta,Nadigama,Jonnalagadda
3984,200,6/6/2015,Intermediate,Intermediate,Intermediate
3984,28,7/8/2015,Tiruvuru,Gampalagudem,VUTUKURU
3986,435,6/3/2015,Tiruvuru,Vissannapeta,Vemireddipalli
3986,68,5/28/2015,Mylavaram,Ibrahimpatnam,Mulapadu
3988,359,7/1/2015,Mylavaram,Mylavaram,mylavaram
3990,281,6/7/2015,Mylavaram,Reddygudem,Intermediate
3992,162,7/18/2015,Nandigama,Chanderlapadu,Chanderlapadu
3996,122,6/10/2015,Jaggaiahpeta,Vatsavai,Machinenipalem
3997,244,6/22/2015,Jaggaiahpeta,Jaggaiahpeta,Govrawaram
3998,50,5/26/2015,Nandigama,Veerullapadu,Bodawada
4001,104,6/13/2015,Mylavaram,Vijayawada (R),Kottur tadepalli
4001,182,7/18/2015,Mylavaram,Ibrahimpatnam,Kondapalli
4005,82,6/17/2015,Mylavaram,Ibrahimpatnam,Kachavaram
4005,222,7/12/2015,Nandigama,Kanchikacherla,Kanchikacherla
4007,25,5/26/2015,Tiruvuru,Gampalagudem,CHINTALANARVA
4008,267,6/1/2015,Mylavaram,Reddygudem,Kunaparajparva
4010,349,6/4/2015,Tiruvuru,Tiruvuru,Mallela
4011,261,6/10/2015,Mylavaram,Reddygudem,Reddygudem
4011,63,6/24/2015,Intermediate,Intermediate,Intermediate
4013,395,6/24/2015,Tiruvuru,A.Konduru,A. Konduru
4014,409,5/23/2015,Tiruvuru,A.Konduru,kummarikuntla
4020,387,6/5/2015,Tiruvuru,A.Konduru,Koduru
4020,86,6/27/2015,Intermediate,Intermediate,Intermediate
4021,290,6/29/2015,Intermediate,Intermediate,Intermediate
4027,427,6/25/2015,Tiruvuru,Vissannapeta,Tatakuntla
4029,471,6/1/2015,Jaggaiahpeta,Penuganchiprolu,venkatapuram
4030,462,6/12/2015,Tiruvuru,Gampalagudem,GULLAPUDI
4031,107,5/27/2015,Nandigama,Chanderlapadu,Punnavalli
4033,450,6/27/2015,Tiruvuru,Gampalagudem,DUNDIRLAPADU
4033,17,7/2/2015,Tiruvuru,Vissannapeta,Vissannapeta
4035,447,5/24/2015,Tiruvuru,Gampalagudem,PEDAKOMERA
4036,280,5/25/2015,Mylavaram,Reddygudem,Kunaparajparva
4036,18,6/4/2015,Tiruvuru,Vissannapeta,Vemireddipalli
4037,149,7/7/2015,Nandigama,Chanderlapadu,Muppalla
4038,427,5/29/2015,Tiruvuru,Vissannapeta,Kondaparava
4039,216,5/27/2015,Intermediate,Intermediate,Intermediate
4039,254,6/17/2015,Nandigama,Chanderlapadu,Intermediate
4039,401,6/26/2015,Tiruvuru,A.Konduru,A. Konduru
4040,378,5/24/2015,Mylavaram,Mylavaram,Pondugala
4041,76,5/27/2015,Mylavaram,Ibrahimpatnam,Damuluru
4041,484,6/6/2015,Jaggaiahpeta,Penuganchiprolu,Sanagapadu
4042,152,7/9/2015,Nandigama,Chanderlapadu,Muppalla
4043,214,6/29/2015,Nandigama,Kanchikacherla,Moguluru
4044,245,5/25/2015,Jaggaiahpeta,Jaggaiahpeta,Takkellapadu
4048,344,6/5/2015,Tiruvuru,Tiruvuru,Munukulla
4048,279,6/8/2015,Mylavaram,Reddygudem,Intermediate
4051,253,6/9/2015,Jaggaiahpeta,Jaggaiahpeta,Intermediate
4052,114,6/5/2015,Jaggaiahpeta,Vatsavai,Kakaravai
4052,449,6/10/2015,Tiruvuru,Gampalagudem,NEMALI
4053,258,6/5/2015,Jaggaiahpeta,Jaggaiahpeta,Mutyala
4055,276,6/15/2015,Mylavaram,Reddygudem,Reddygudem
4056,222,5/24/2015,Nandigama,Kanchikacherla,Kunikinapadu
4059,407,7/3/2015,Tiruvuru,A.Konduru,Ramachandrapuram
4060,89,7/8/2015,Jaggaiahpeta,Vatsavai,Makkapeta
4060,195,7/7/2015,Mylavaram,G. Konduru,Intermediate
4061,54,5/24/2015,Intermediate,Intermediate,Intermediate
4061,184,7/20/2015,Mylavaram,Ibrahimpatnam,Kondapalli
4062,294,6/17/2015,Jaggaiahpeta,Nadigama,Rudravaram
4063,380,7/18/2015,Intermediate,Intermediate,Intermediate
4065,180,6/13/2015,Mylavaram,G. Konduru,Intermediate
4067,125,7/10/2015,Jaggaiahpeta,Vatsavai,Makkapeta
4068,143,6/29/2015,Nandigama,Chanderlapadu,Bobbillapadu
4069,495,6/10/2015,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
4069,141,6/22/2015,Intermediate,Intermediate,Intermediate
4070,17,6/4/2015,Tiruvuru,Vissannapeta,Chandrupatla
4071,369,5/29/2015,Mylavaram,Reddygudem,Moddulaparva
4071,415,6/5/2015,Tiruvuru,Tiruvuru,Munukulla
4071,327,6/15/2015,Tiruvuru,Tiruvuru,Vavilala
4072,443,6/11/2015,Tiruvuru,Gampalagudem,NEMALI
4073,76,7/6/2015,Nandigama,Kanchikacherla,Paritala
4075,136,6/23/2015,Jaggaiahpeta,Vatsavai,Chityala
4076,498,6/11/2015,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
4080,389,6/17/2015,Tiruvuru,A.Konduru,Intermediate
4081,128,6/3/2015,Jaggaiahpeta,Vatsavai,Kakaravai
4081,451,6/15/2015,Tiruvuru,Gampalagudem,GULLAPUDI
4083,409,6/27/2015,Tiruvuru,A.Konduru,Ramachandrapuram
4084,301,6/22/2015,Nandigama,Nandigama,Lingalapadu
4085,421,6/15/2015,Intermediate,Intermediate,Intermediate
4085,315,7/2/2015,Nandigama,Nandigama,Thakkellapadu
4085,222,7/20/2015,Nandigama,Kanchikacherla,Kanchikacherla
4087,475,6/1/2015,Jaggaiahpeta,Penuganchiprolu,Sanagapadu
4088,260,5/30/2015,Jaggaiahpeta,Jaggaiahpeta,Malkapuram
4088,257,7/5/2015,Jaggaiahpeta,Vatsavai,Magollu
4091,264,5/27/2015,Mylavaram,Reddygudem,Moddulaparva
4091,26,5/29/2015,Tiruvuru,Gampalagudem,KANUMURU
4091,460,6/3/2015,Tiruvuru,Gampalagudem,KOTHAPALLI
4091,448,6/17/2015,Tiruvuru,Gampalagudem,KONIJARAL
4093,462,6/23/2015,Tiruvuru,Gampalagudem,SOBBALA
4096,447,6/17/2015,Tiruvuru,Gampalagudem,NEMALI
4097,405,5/26/2015,Tiruvuru,A.Konduru,Marepalli
4100,455,5/26/2015,Tiruvuru,Gampalagudem,ANUMULLANKA
4100,257,7/1/2015,Jaggaiahpeta,Vatsavai,Magollu
4100,35,7/13/2015,Tiruvuru,Vissannapeta,Vissannapeta
4102,57,5/26/2015,Mylavaram,Ibrahimpatnam,Thummalapalem
4102,250,7/1/2015,Jaggaiahpeta,Jaggaiahpeta,Budavada
4104,171,6/2/2015,Mylavaram,G. Konduru,Kuntamukkala
4104,425,6/11/2015,Tiruvuru,Vissannapeta,Narasapuram
4104,22,7/8/2015,Intermediate,Intermediate,Intermediate
4109,255,5/26/2015,Jaggaiahpeta,Jaggaiahpeta,Jayanthipuram
4109,165,6/1/2015,Nandigama,Chanderlapadu,Intermediate
4111,440,6/24/2015,Nandigama,Veerullapadu,Intermediate
4113,65,6/19/2015,Mylavaram,Ibrahimpatnam,Mulapadu
4116,454,5/25/2015,Tiruvuru,Gampalagudem,ANUMULLANKA
4117,135,6/5/2015,Jaggaiahpeta,Vatsavai,Gopinenipalem
4118,355,5/19/2015,Mylavaram,Mylavaram,Tholukodu
4118,256,6/21/2015,Jaggaiahpeta,Jaggaiahpeta,S M Peta
4120,283,6/8/2015,Mylavaram,Reddygudem,Intermediate
4122,44,7/8/2015,Tiruvuru,Gampalagudem,VUTUKURU
4123,204,6/3/2015,Nandigama,Kanchikacherla,Athukuru
4124,375,6/5/2015,Mylavaram,Mylavaram,Chandrala
4125,373,5/20/2015,Mylavaram,Mylavaram,Ganapavaram
4125,22,7/1/2015,Intermediate,Intermediate,Intermediate
4125,300,7/12/2015,Nandigama,Chanderlapadu,Konayapalem
4128,394,6/29/2015,Tiruvuru,A.Konduru,Ramachandrapuram
4128,89,6/30/2015,Jaggaiahpeta,Vatsavai,Lingala
4129,121,6/3/2015,Jaggaiahpeta,Vatsavai,Kakaravai
4130,245,5/29/2015,Jaggaiahpeta,Jaggaiahpeta,Takkellapadu
4130,269,6/5/2015,Mylavaram,Reddygudem,Intermediate
4131,264,6/12/2015,Mylavaram,Reddygudem,Intermediate
4132,341,5/23/2015,Tiruvuru,Tiruvuru,Mustikuntla
4132,366,6/12/2015,Mylavaram,Reddygudem,Intermediate
4134,245,5/29/2015,Jaggaiahpeta,Jaggaiahpeta,Takkellapadu
4136,97,5/28/2015,Mylavaram,Vijayawada (R),paidurpadu
4137,140,6/16/2015,Jaggaiahpeta,Vatsavai,Kanneveedu
4138,419,5/30/2015,Tiruvuru,Tiruvuru,Erramadu
4138,409,6/29/2015,Tiruvuru,A.Konduru,Ramachandrapuram
4140,25,6/24/2015,Tiruvuru,Gampalagudem,TUNIKIPADU
4141,133,6/16/2015,Jaggaiahpeta,Vatsavai,Kanneveedu
4141,141,6/16/2015,Intermediate,Intermediate,Intermediate
4143,11,6/8/2015,Tiruvuru,Vissannapeta,Intermediate
4143,486,6/23/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
4143,460,7/2/2015,Tiruvuru,Gampalagudem,Intermediate
4145,11,5/28/2015,Tiruvuru,Vissannapeta,Intermediate
4145,446,6/4/2015,Tiruvuru,Gampalagudem,MEDURU
4146,256,6/7/2015,Jaggaiahpeta,Jaggaiahpeta,Balusupadu
4149,210,6/2/2015,Nandigama,Kanchikacherla,Chevitikallu
4150,63,5/23/2015,Mylavaram,Ibrahimpatnam,Elaprolu
4153,125,7/11/2015,Jaggaiahpeta,Vatsavai,Makkapeta
4155,285,6/4/2015,Mylavaram,Reddygudem,Intermediate
4155,295,7/11/2015,Nandigama,Nandigama,Kanchela
4156,492,5/27/2015,Jaggaiahpeta,Penuganchiprolu,Venganaikunipalem
4158,274,6/16/2015,Mylavaram,Mylavaram,pullur
4163,175,5/28/2015,Mylavaram,G. Konduru,Sunnampadu
4163,351,6/26/2015,Mylavaram,Mylavaram,Intermediate
4165,329,6/13/2015,Tiruvuru,Tiruvuru,Kakarla
4166,313,7/6/2015,Jaggaiahpeta,Nadigama,Maagallu
4167,315,6/16/2015,Nandigama,Nandigama,Lingalapadu
4168,142,6/17/2015,Tiruvuru,A.Konduru,Khampampadu
4176,369,6/15/2015,Mylavaram,Reddygudem,Reddygudem
4177,442,6/17/2015,Tiruvuru,Gampalagudem,KONIJARAL
4178,305,6/9/2015,Nandigama,Nandigama,Raghavapuram
4178,317,6/4/2015,Jaggaiahpeta,Nadigama,Turragudipadu
4180,352,6/7/2015,Mylavaram,Mylavaram,Morsumalli
4184,467,6/27/2015,Tiruvuru,Gampalagudem,LINGALA
4186,72,6/15/2015,Mylavaram,Ibrahimpatnam,GunTupalli
4186,467,7/7/2015,Tiruvuru,Gampalagudem,VUTUKURU
4187,358,6/29/2015,Intermediate,Intermediate,Intermediate
4189,298,6/19/2015,Nandigama,Nandigama,Ambarupeta
4189,129,7/14/2015,Jaggaiahpeta,Vatsavai,Vatsavai
4191,471,6/3/2015,Jaggaiahpeta,Penuganchiprolu,venkatapuram
4191,213,7/10/2015,Nandigama,Kanchikacherla,Kanchikacherla
4192,480,5/25/2015,Jaggaiahpeta,Penuganchiprolu,Subbayamgudam
4192,290,7/10/2015,Intermediate,Intermediate,Intermediate
4195,417,5/31/2015,Tiruvuru,Tiruvuru,Mallela
4196,287,6/4/2015,Mylavaram,Reddygudem,Intermediate
4196,151,7/10/2015,Intermediate,Intermediate,Intermediate
4197,124,7/15/2015,Jaggaiahpeta,Vatsavai,Vatsavai
4198,447,6/8/2015,Tiruvuru,Gampalagudem,AMMIREDDYGUDEM
4199,95,7/4/2015,Jaggaiahpeta,Intermediate,Intermediate
4205,300,6/10/2015,Nandigama,Nandigama,Adiviravulapadu
4206,28,5/30/2015,Tiruvuru,Gampalagudem,CHINTALANARVA
4208,68,5/29/2015,Mylavaram,Ibrahimpatnam,Mulapadu
4210,334,6/8/2015,Tiruvuru,Tiruvuru,Munukulla
4211,8,6/15/2015,Tiruvuru,Vissannapeta,Putrela
4212,222,6/15/2015,Nandigama,Kanchikacherla,Gandepalli
4212,483,7/15/2015,Intermediate,Intermediate,Intermediate
4214,423,6/23/2015,Tiruvuru,Vissannapeta,Intermediate
4215,389,6/14/2015,Tiruvuru,A.Konduru,Cheemalapadu
4215,478,6/19/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
4215,380,6/27/2015,Mylavaram,Mylavaram,Chandragudem
4217,479,5/30/2015,Intermediate,Intermediate,Intermediate
4218,22,6/9/2015,Nandigama,Veerullapadu,Dachavaram
4218,150,7/9/2015,Intermediate,Intermediate,Intermediate
4220,294,6/9/2015,Jaggaiahpeta,Nadigama,Somavaram
4220,213,6/15/2015,Nandigama,Kanchikacherla,Gandepalli
4222,184,7/4/2015,Mylavaram,G. Konduru,Velaturu
4223,492,5/29/2015,Jaggaiahpeta,Penuganchiprolu,Venganaikunipalem
4223,65,6/5/2015,Mylavaram,Ibrahimpatnam,Mulapadu
4224,348,6/3/2015,Tiruvuru,Tiruvuru,Mallela
4224,256,6/5/2015,Jaggaiahpeta,Jaggaiahpeta,Balusupadu
4225,257,5/27/2015,Jaggaiahpeta,Jaggaiahpeta,Malkapuram
4225,57,6/7/2015,Mylavaram,Ibrahimpatnam,GunTupalli
4227,480,7/12/2015,Intermediate,Intermediate,Intermediate
4228,470,7/3/2015,Tiruvuru,Gampalagudem,PENUGOLANU
4229,8,5/31/2015,Tiruvuru,Vissannapeta,Vemireddipalli
4229,140,7/18/2015,Jaggaiahpeta,Vatsavai,Vatsavai
4230,81,6/26/2015,Intermediate,Intermediate,Intermediate
4232,382,6/21/2015,Tiruvuru,A.Konduru,Khampampadu
4233,180,6/9/2015,Mylavaram,G. Konduru,Chervu madhavaram
4234,76,6/23/2015,Mylavaram,Ibrahimpatnam,Kotikalapudi
4235,277,5/30/2015,Mylavaram,Reddygudem,K-Naguluru
4236,63,6/22/2015,Intermediate,Intermediate,Intermediate
4243,472,6/22/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
4247,112,6/5/2015,Jaggaiahpeta,Vatsavai,Gopinenipalem
4248,295,6/4/2015,Nandigama,Nandigama,Aithavaram
4250,289,7/2/2015,Tiruvuru,Vissannapeta,Vissannapeta
